Land;  Orange  
Aland (Finland); 0,06 
Bulgarije; 0,06 
Cyprus; 0,06 
Denemarken; 0,06 
Duitsland; 0,06 
Estland; 0,06 
Finland; 0,06 
Frankrijk; 0,06 
Frans-Guyana; 0,06 
Gibraltar (VK); 0,06 
Griekenland; 0,06 
Guadeloupe; 0,06 
Hongarije; 0,06 
Ierland; 0,06 
IJsland; 0,06 
Italië; 0,06 
Kroatië; 0,06 
Letland; 0,06 
Liechtenstein; 0,06 
Litouwen; 0,06 
Luxemburg; 0,06 
Malta; 0,06 
Martinique; 0,06 
Monaco; 0,06 
Nederland; 0,06 
Noorwegen; 0,06 
Oostenrijk; 0,06 
Polen; 0,06 
Portugal; 0,06 
Réunion; 0,06 
Roemenië; 0,06 
Saint-Barthélemy; 0,06 
Saint-Martin; 0,06 
San Marino; 0,06 
Slovenië; 0,06 
Slowakije; 0,06 
Spanje; 0,06 
Tsjechië; 0,06 
Verenigd Koninkrijk; 0,06 
Zweden; 0,06 
China; 3,63 
Egypte; 3,63 
Marokko; 3,63 
Turkije; 3,63 
Verenigde Staten; 3,63 
Zwitserland; 3,63 
Aero (luchtvaart); 14,00 
Afghanistan; 14,00 
Albanië; 14,00 
Algerije; 14,00 
Andorra; 14,00 
Angola; 14,00 
Anguilla; 14,00 
Antigua & Barbuda; 14,00 
Argentinië; 14,00 
Armenië; 14,00 
Aruba; 14,00 
Australië; 14,00 
Azerbeidzjan; 14,00 
Bahrein; 14,00 
Bangladesh; 14,00 
Barbados; 14,00 
Belarus; 14,00 
Belize; 14,00 
Benin; 14,00 
Bermuda; 14,00 
Bolivia; 14,00 
Bosnië & Herzegovina; 14,00 
Botswana; 14,00 
Brazilië; 14,00 
Britse Maagdeneilanden; 14,00 
Brunei; 14,00 
Burkina Faso; 14,00 
Cambodja; 14,00 
Canada; 14,00 
Caymaneilanden; 14,00 
Chili; 14,00 
Colombia; 14,00 
Comoren; 14,00 
Costa Rica; 14,00 
Curaçao & Bonaire; 14,00 
Democratische Republiek Congo; 14,00 
Dominica; 14,00 
Dominicaanse Republiek; 14,00 
Ecuador; 14,00 
El Salvador; 14,00 
Ferries & Cruises; 14,00 
Fiji; 14,00 
Filipijnen; 14,00 
Frans-Polynesië; 14,00 
Franse Antillen; 14,00 
Gabon; 14,00 
Gambia; 14,00 
Georgië; 14,00 
Ghana; 14,00 
Grenada; 14,00 
Guam; 14,00 
Guatemala; 14,00 
Guernsey (VK); 14,00 
Honduras; 14,00 
Hongkong; 14,00 
India; 14,00 
Indonesië; 14,00 
Irak; 14,00 
Iran; 14,00 
Israël; 14,00 
Ivoorkust; 14,00 
Jamaica; 14,00 
Japan; 14,00 
Jersey (VK); 14,00 
Jordanië; 14,00 
Kaapverdië; 14,00 
Kameroen; 14,00 
Kazachstan; 14,00 
Kenia; 14,00 
Koeweit; 14,00 
Kosovo; 14,00 
Kyrgyzstan; 14,00 
Laos; 14,00 
Libanon; 14,00 
Liberia; 14,00 
Libië; 14,00 
Maagdeneilanden (VS); 14,00 
Macau; 14,00 
Macedonië; 14,00 
Madagaskar; 14,00 
Malawi; 14,00 
Malediven; 14,00 
Maleisië; 14,00 
Mali; 14,00 
Man eiland (VK); 14,00 
Mauritanië; 14,00 
Mauritius; 14,00 
Mexico; 14,00 
Moldavië; 14,00 
Mongolië; 14,00 
Montenegro; 14,00 
Montserrat; 14,00 
Mozambique; 14,00 
Myanmar; 14,00 
Namibië; 14,00 
Nepal; 14,00 
Nicaragua; 14,00 
Nieuw-Zeeland; 14,00 
Niger; 14,00 
Nigeria; 14,00 
Oekraïne; 14,00 
Oezbekistan; 14,00 
Oman; 14,00 
Pakistan; 14,00 
Panama; 14,00 
Papoea-Nieuw-Guinea; 14,00 
Paraguay; 14,00 
Peru; 14,00 
Puerto Rico; 14,00 
Qatar; 14,00 
Rusland; 14,00 
Rwanda; 14,00 
Saint Kitts & Nevis; 14,00 
Saint Lucia; 14,00 
Saint Vincent & de Grenadines; 14,00 
Sao Tomé & Principe; 14,00 
Saudi-Arabië; 14,00 
Senegal; 14,00 
Servië; 14,00 
Seychellen; 14,00 
Singapore; 14,00 
Sint-Maarten; 14,00 
Soedan; 14,00 
Sri Lanka; 14,00 
Suriname; 14,00 
Tadzjikistan; 14,00 
Taiwan; 14,00 
Tanzania; 14,00 
Thailand; 14,00 
Timor; 14,00 
Trinidad & Tobago; 14,00 
Tsjaad; 14,00 
Tunesië; 14,00 
Turkmenistan; 14,00 
Turks- & Caicoseilanden; 14,00 
Uganda; 14,00 
Uruguay; 14,00 
Venezuela; 14,00 
Verenigde Arabische Emiraten; 14,00 
Vietnam; 14,00 
Zuid-Afrika; 14,00 
Zuid-Korea; 14,00 
